date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:41	11235/11235	---M--	200	added ('OK')	text/html	etag:%222be3-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/index.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/index.html	(from )
12:31:47	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2004:31:43%20GMT	https://www.cyclismo.org/robots.txt		(from )
12:31:49	103575/103575	---M--	200	added ('OK')	text/css	etag:%2219497-51fcfbea92240%22	https://www.cyclismo.org/tutorial/matlab/_static/css/theme.css	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/_static/css/theme.css	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:49	1678/1678	---M--	200	added ('OK')	text/css	etag:%2268e-525d6b9ae7300%22	https://www.cyclismo.org/tutorial/matlab/_static/siteColours.css	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/_static/siteColours.css	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:49	26297/26297	---M--	200	added ('OK')	text/html	etag:%2266b9-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/vector.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/vector.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:49	15414/15414	---M--	200	added ('OK')	application/javascript	etag:%223c36-5145457e53200%22	https://www.cyclismo.org/tutorial/matlab/_static/js/modernizr.min.js	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/_static/js/modernizr.min.js	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:50	26061/26061	---M--	200	added ('OK')	text/html	etag:%2265cd-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/matrix.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/matrix.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:50	40149/40149	---M--	200	added ('OK')	text/html	etag:%229cd5-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/operations.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/operations.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:50	25924/25924	---M--	200	added ('OK')	text/html	etag:%226544-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/control.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/control.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:50	22826/22826	---M--	200	added ('OK')	text/html	etag:%22592a-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/plot.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/plot.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:51	23835/23835	---M--	200	added ('OK')	text/html	etag:%225d1b-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/execute.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/execute.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:51	31551/31551	---M--	200	added ('OK')	text/html	etag:%227b3f-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/subroutine.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/subroutine.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:51	27248/27248	---M--	200	added ('OK')	text/html	etag:%226a70-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/if.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/if.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:51	19668/19668	---M--	200	added ('OK')	text/html	etag:%224cd4-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/dataFile.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/dataFile.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:52	220/220	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2004:31:53%20GMT	https://www.cyclismo.org/tutorial/matlab/666666	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/666666	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:54	17522/17522	---M--	200	added ('OK')	text/html	etag:%224472-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/genindex.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/genindex.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:54	7715/7715	---M--	200	added ('OK')	text/html	etag:%221e23-525d8d7214a00%22	https://www.cyclismo.org/tutorial/matlab/search.html	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/search.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:55	225/225	---M--	302	error ('Found')	text/html	date:Sat,%2015%20Jan%202022%2004:31:56%20GMT	http://www.cyclismo.org/tutorial/matlab/	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/index-2.html	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:31:58	12140/12140	---M--	200	added ('OK')	application/javascript	etag:%222f6c-510f62c319740%22	https://www.cyclismo.org/tutorial/matlab/_static/underscore.js	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/_static/underscore.js	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:32:02	7377/7377	---M--	200	added ('OK')	application/javascript	etag:%221cd1-510f62c319740%22	https://www.cyclismo.org/tutorial/matlab/_static/doctools.js	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/_static/doctools.js	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:32:06	113691/113691	---MC-	200	added ('OK')	text/javascript	date:Sat,%2015%20Jan%202022%2004:31:53%20GMT	http://pagead2.googlesyndication.com/pagead/show_ads.js	D:/Matlab%20Tutorial/Matlab%20Tutorial/pagead2.googlesyndication.com/pagead/f.txt	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:32:06	95786/95786	---M--	200	added ('OK')	application/javascript	etag:%221762a-510f62c319740%22	https://www.cyclismo.org/tutorial/matlab/_static/jquery.js	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/_static/jquery.js	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:32:09	151979/151979	---MC-	200	added ('OK')	text/javascript	date:Sat,%2015%20Jan%202022%2004:31:55%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	D:/Matlab%20Tutorial/Matlab%20Tutorial/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:32:09	5551/5551	---M--	200	added ('OK')	application/javascript	etag:%2215af-51fcfbeb86480%22	https://www.cyclismo.org/tutorial/matlab/_static/js/theme.js	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/_static/js/theme.js	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:32:10	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2015%20Jan%202022%2004:32:11%20GMT	http://i.creativecommons.org/l/by-nc/4.0/80x15.png	D:/Matlab%20Tutorial/Matlab%20Tutorial/i.creativecommons.org/l/by-nc/4.0/80x15.17.delayed	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:32:20	255/255	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2004:32:19%20GMT	https://www.cyclismo.org/tutorial/matlab/href=%22mailto:kjblack@gmail.com%22	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/href=_mailto_kjblack@gmail.19.delayed	(from https://www.cyclismo.org/tutorial/matlab/index.html)
12:32:22	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dac6-51fcf24582100%22	https://www.cyclismo.org/tutorial/matlab/_static/fonts/fontawesome-webfont.eot?v=4.2.0	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/_static/fonts/fontawesome-webfont78ce.eot	(from https://www.cyclismo.org/tutorial/matlab/_static/css/theme.css)
12:32:23	65452/65452	---M--	200	added ('OK')	application/font-woff	etag:%22ffac-51fcf24582100%22	https://www.cyclismo.org/tutorial/matlab/_static/fonts/fontawesome-webfont.woff?v=4.2.0	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/_static/fonts/fontawesome-webfont78ce.woff	(from https://www.cyclismo.org/tutorial/matlab/_static/css/theme.css)
12:32:23	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dac6-51fcf24582100%22	https://www.cyclismo.org/tutorial/matlab/_static/fonts/fontawesome-webfont.eot?	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/_static/fonts/fontawesome-webfontd41d.eot	(from https://www.cyclismo.org/tutorial/matlab/_static/css/theme.css)
12:32:25	84548/84548	---M--	200	added ('OK')	application/font-sfnt	etag:%2214a44-51fcf24582100%22	https://www.cyclismo.org/tutorial/matlab/_static/fonts/Inconsolata-Regular.ttf	D:/Matlab%20Tutorial/Matlab%20Tutorial/www.cyclismo.org/tutorial/matlab/_static/fonts/Inconsolata-Regular.ttf	(from https://www.cyclismo.org/tutorial/matlab/_static/css/theme.css)
